idMLL	id	Type	Sub	Ori	LblEN	LblLNG	LastUpd	LastUpdTrad	User	Lng
233	1068	Typ	Typ	TbLoc	clinique (type de labo; settings)	kliniczne (typ laboratorium)	2014-04-08 08:49:00	2018-04-12	dkarczma	pl	
235	1074	Typ	Typ	TbLoc	recherche (type de labo ; settings)	badawcze (typ laboratorium)	2014-04-08 08:49:00	2018-04-12	dkarczma	pl	
237	1089	Sta	Sta	TbPrs	Deceased	Zmarły	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
239	1095	Sta	Sta	TbPrs	Not working anymore	Nie pracujący nigdzie	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
241	1116	Txt	Rev	TbPatTxt	Review article	Artykuł recenzowany 	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
243	1122	Txt	Urg	TbPatTxt	Emergency guidelines	Wytyczne postępowania w stanach nagłych	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
245	1128	Txt	Cln	TbPatTxt	Clinical practice guidelines	Przewodnik praktyki klinicznej	2014-06-27 14:40:00	2018-04-12	dkarczma	pl	
247	1135	Cvg	Def	TbAct	National	Krajowy	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
249	1141	Eta	Dsg	TbAct	Orphan designation	Desygnacja sieroca	2009-09-30 18:34:00	2018-04-12	dkarczma	pl	
251	1147	Eta	Dsg	TbAct	Orphan designation withdrawn	Desygnacja sieroca wycofana	2009-09-30 18:34:00	2018-04-12	dkarczma	pl	
253	1153	Eta	Drg	TbAct	Marketing authorization with orphan designation	Dopuszczony do obrotu z desygnacją sierocą	2009-09-30 18:34:00	2018-04-12	dkarczma	pl	
255	1159	Zad	Gal	TbAct	Europe	Europa	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
257	1165	Zad	Gal	TbAct	USA	USA	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
259	1171	Zad	Gal	TbAct	Japan	Japonia	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
261	1177	Zad	Gal	TbAct	Australia	Australia	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
263	1183	Zad	Spc	TbAct	Singapor	Singapur	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
265	1189	Zad	Spc	TbAct	France	Francja	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
267	1195	Zad	Spc	TbAct	Switzerland	Szwajcaria	2009-12-15 17:32:00	2018-04-12	dkarczma	pl	
269	12330	Epi	Prv	TlMllPat	>1 / 1000	>1 / 1000	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
271	12336	Epi	Prv	TlMllPat	6-9 / 10 000	6-9 / 10 000	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
273	12342	Epi	Prv	TlMllPat	1-5 / 10 000	1-5 / 10 000	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
275	12348	Epi	Prv	TlMllPat	1-9 / 100 000	1-9 / 100 000	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
277	12354	Epi	Prv	TlMllPat	1-9 / 1 000 000	1-9 / 1 000 000	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
279	12360	Epi	Prv	TlMllPat	<1 / 1 000 000	<1 / 1 000 000	2009-09-30 19:03:00	2018-04-12	dkarczma	pl	
281	12366	Epi	Prv	TlMllPat	Unknown	nieznany	2009-09-19 22:28:00	2018-04-12	dkarczma	pl	
283	12372	Epi	Prv	TlMllPat	No data available		2009-09-19 22:28:00		BUedit	pl	
285	12378	Epi	Prv	TlMllPat	Other information		2009-09-19 22:28:00		BUedit	pl	
287	12474	Epi	Dec	TlMllPat	Before age 5		2009-09-19 22:28:00		BUedit	pl	
289	12480	Epi	Dec	TlMllPat	Child / adolescent		2009-09-19 22:28:00		BUedit	pl	
291	12486	Epi	Dec	TlMllPat	Young adult		2009-09-19 22:28:00		BUedit	pl	
293	12492	Epi	Dec	TlMllPat	Adult		2009-09-19 22:28:00		BUedit	pl	
295	12498	Epi	Dec	TlMllPat	Elderly		2009-09-19 22:28:00		BUedit	pl	
297	12504	Epi	Dec	TlMllPat	Normal		2009-09-19 22:28:00		BUedit	pl	
